date,overall,"food, drinks and tobacco","clothes, shoes and accesories",housing,forniture and domestic appliances,health and personal care,transportation,education and recreation,others
Feb 2006,60.696357727462,50.579803515891,72.894374306808,77.229322268731,68.063047005877,61.589489493326,50.853984048130,61.417029317382,54.677299459719
Mar 2006,60.772511809723,50.161654238530,72.978502614464,77.518149582756,68.181910201742,62.034358698022,51.037253035006,61.738749736296,54.964668168933
Abr 2006,60.861617266519,50.054511303055,73.039495637514,77.306213656581,68.125120008162,62.388305729494,51.541919851085,62.074000453202,55.183987967805
May 2006,60.590674511262,50.225856620099,73.052815952893,75.858200209762,68.024086291677,62.519276955208,51.528829209165,61.835466310829,55.321465158293
Jun 2006,60.642998064380,49.941114888856,73.033887083671,76.133458455342,68.175967041949,62.689214826587,51.614144082366,62.079512796828,55.491587434148
Jul 2006,60.809293713401,50.062015477524,72.898580722191,76.353148134913,68.024746642765,62.781219406634,51.780259814313,62.559587814461,55.573889832467
Ago 2006,61.119608647242,50.792421792514,73.136944260549,76.548284262061,68.155496158217,62.834257341013,51.957660582398,62.598675341993,55.720103031715
Sep 2006,61.736612130056,52.269910365759,73.239300368197,76.669113585825,68.499539075138,62.858070291143,52.043426857045,63.695631723619,55.858040012138
Oct 2006,62.006518775351,52.725163616882,73.300293391247,77.202830277960,68.819149001799,62.977135041792,51.947278349152,63.755766381361,56.009310900668
Nov 2006,62.331857303652,52.303679150869,73.441208306571,79.071484846546,68.817167948535,63.047491485357,52.059225907638,63.836948169311,56.143569561613
Dic 2006,62.692423570686,53.010739145289,73.648023729558,79.258867220298,68.987538529275,63.243948323926,52.318781738806,64.050927326440,56.458985456846
Ene 2007,63.016207934044,53.532696169471,73.486777806551,79.710523355651,68.926786229167,63.529703725482,52.532294622531,63.996305012324,56.972570813953
Feb 2007,63.192346627711,53.597732348203,73.816280344869,79.880459784260,69.015273274978,63.929111843566,52.681708500995,64.198758360053,57.292584608535
Mar 2007,63.329113142793,53.626915248916,73.940369598662,79.856552377954,69.095836107731,64.294965350104,52.939910127826,64.575101093082,57.430521588957
Abr 2007,63.291295129152,53.764074882268,74.032910737083,79.203944800405,69.258282475414,64.594792040373,53.086615597616,64.536013565551,57.547308232382
May 2007,62.982534360255,53.313407515542,74.044127844771,78.117773178761,69.373183564750,64.762565098105,53.173284675154,64.569588749456,57.707315129672
Jun 2007,63.058170387535,53.179166172261,74.037818221697,78.267032931646,69.456387801857,64.883794662401,53.314121926153,64.824659922708,57.930773037957
Jul 2007,63.326004812904,53.705709080841,73.962102744807,78.446015405885,69.407521821334,65.026131159767,53.476175045090,65.146380341622,58.071928547923
Ago 2007,63.583996193627,54.208488770270,74.154195713954,78.669581962154,69.528366070464,65.153855165008,53.584059990567,65.285191176574,58.234694184822
Sep 2007,64.077702590875,55.255738007287,74.245334713914,78.893148518424,69.560062922694,65.285367594133,53.679305695569,66.278415273598,58.251246622473
Oct 2007,64.327405091896,55.307016532826,74.391157113851,79.768030360009,69.682227874001,65.406055955017,53.711806599646,66.307981480320,58.517464994688
Nov 2007,64.781221255577,55.761852885368,74.550299829167,81.003461734539,69.761470004578,65.527826722726,53.831427982706,66.353082473626,58.783223576970
Dic 2007,65.049055680946,56.190424627269,74.611292852217,81.095214483065,70.260695427213,65.800593242393,53.970459627922,66.735939794577,58.992887787213
Ene 2008,65.350563680104,56.538534942917,74.464068313819,81.740714453334,70.357106686082,66.162117121635,54.084664193636,66.700861244229,59.327155069771
Feb 2008,65.544834298119,56.361769944312,74.870688467489,82.307384597405,70.657566431186,66.412694301408,54.198868759350,66.942903241636,59.698205547108
Mar 2008,66.019890716036,57.085505881997,75.101340244312,82.707995189563,71.080191127597,66.744993196399,54.592490819833,67.336284127692,60.025116190709
Abr 2008,66.170126660634,57.783394107620,75.113258421230,82.156832552286,71.472439673953,66.991781952288,54.781176624056,67.217017056506,60.273402755471
May 2008,66.098635073205,57.948069047358,75.240853021174,81.207643907316,71.689034830864,67.330575288225,54.915694254818,67.258109072629,60.483986545583
Jun 2008,66.372168103369,58.146929670789,75.252070128862,81.640561805295,72.169110071944,67.659085759332,55.086775402665,67.516186978768,60.776412944079
Jul 2008,66.742059360068,58.633450315534,75.126578736608,81.972680909116,72.309764853717,67.834435664832,55.458278792319,68.116531311883,61.020101609493
Ago 2008,67.127492266209,59.053267187221,75.533899959508,82.315784496917,72.795122903502,68.134262355100,55.971973637308,68.353060965664,61.364944060550
Sep 2008,67.584934814760,59.479337537632,75.725291859425,82.563904605609,73.339912551219,68.448701537495,56.398999404760,69.589830426538,61.580585539944
Oct 2008,68.045485693200,59.813690200087,75.960851120861,83.704352501030,73.724236884518,68.508775116231,56.757412152494,69.730144627934,61.882207737135
Nov 2008,68.818941780387,60.790066678230,76.166965474618,85.328117691506,74.078845418849,68.736621752699,57.050823092075,69.926083387740,62.457864735433
